summary_nr,Event Date,Event Keywords,con_end,Construction End Use,build_stor,Building Stories,proj_cost,Project Cost,proj_type,Project Type,Degree of Injury,nature_of_inj,Nature of Injury,part_of_body,Part of Body,event_type,Event type,evn_factor,Environmental Factor,hum_factor,Human Factor,task_assigned,Task Assigned,hazsub,fat_cause
220934970,2/22/2017,"BACKING UP,POWERED INDUSTRIAL VEHICLE",0, ,0, ,0, ,0, ,Nonfatal,0,#N/A,0,#N/A,0,#N/A,0,#N/A,0,#N/A,2,Not Regularly Assigned,0,0
220936678,2/3/2017,"NON-PEL OVEREXPOSURE,ASBESTOS",0, ,0, ,0, ,0, ,Nonfatal,0,#N/A,0,#N/A,0,#N/A,0,#N/A,0,#N/A,2,Not Regularly Assigned,0,0
220981286,3/14/2017,"SLIP,LEG,FRACTURE,FALL",0, ,0, ,0, ,0, ,Nonfatal,12,"Fracture, Broken Bones",23,Femur,4,Fall (same level),0,#N/A,0,#N/A,1,Regularly Assigned,0,0
220857494,6/3/2016,"CRUSHING,FALL,HEAD,SCAFFOLD,LADDER,CONCRETE",0, ,0, ,0, ,0, ,Fatal,12,"Fracture, Broken Bones",13,Head,5,Fall (from elevation),0,#N/A,0,#N/A,2,Not Regularly Assigned,0,0
220910368,11/29/2016,"CABLE TV WORK,COLLAPSE",0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,31,Heart,14,Other,0,#N/A,0,#N/A,2,Not Regularly Assigned,0,0
220940654,3/13/2017,"CAUGHT IN,CRANE",0, ,0, ,0, ,0, ,Fatal,12,"Fracture, Broken Bones",14,Hip,2,Caught in or between,1,Pinch Point Action,0,#N/A,1,Regularly Assigned,0,0
220879795,5/31/2016,"PUMP JACK SCAFFOLD,ELECTROCUTED,POWERED INDUSTRIAL VEHICLE,OVERHEAD POWER LINE,POWER LINES,ELECTRIC SHOCK,ELECTRICAL",B,Multi-family dwelling,0, ,0, ,A,New project or new addition,Fatal,10,Electrocution,11,Feet,13,Shock,13,Work-Surface/Facility-Layout Condition,0,#N/A,1,Regularly Assigned,0,12
220904981,11/10/2016,"TREE TRIMMING,ROPE,BRAIN,NECK,HEAD,FALL,SAW,RIB",0, ,0, ,0, ,0, ,Fatal,12,"Fracture, Broken Bones",20,Neck,5,Fall (from elevation),0,#N/A,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220928345,2/1/2017,"PELVIS,FRACTURE,RESIDENTIAL CONSTRUCTION,LUNG,FALL PROTECTION,RIB,COLLARBONE,ELEVATOR,FALL,VERTEBRA",B,Multi-family dwelling,3,3,0, ,A,New project or new addition,Nonfatal,12,"Fracture, Broken Bones",21,Shoulder,5,Fall (from elevation),0,#N/A,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,20
220953061,4/13/2017,"PRESS,FINGER,AMPUTATION,GUARD,STRUCK BY",0, ,0, ,0, ,0, ,Nonfatal,7,Laceration,10,Fingers,1,Struck-by,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220931745,2/4/2017,"STRUCK AGAINST,UNGUARDED,BLADE,MEAT SLICING MACHINE,AMPUTATION,BANDSAW,THUMB",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,1,Struck-by,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220929640,2/2/2017,"PINNED,KNEE,POWERED INDUSTRIAL VEHICLE,MATERIAL HANDLING,CAUGHT IN,STRUCK BY,CRUSHED,CONVEYOR",0, ,0, ,0, ,0, ,Nonfatal,3,"Bruising, Contusion",15,Knee,1,Struck-by,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220934129,1/31/2017,"UNGUARDED,LOCKOUT/TAGOUT,AMPUTATION,MIXER,MACHINE GUARDING,FOOT",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",11,Feet,1,Struck-by,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220925374,1/19/2017,"PUNCH PRESS,AMPUTATION,FINGER,AMPUTATED,UNGUARDED,STRUCK BY,RAM",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,1,Struck-by,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220930283,1/4/2017,"FINGER,AMPUTATION,MEAT SLICING MACHINE",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",12,Hand,1,Struck-by,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220910319,11/29/2016,"TRAILER,CRUSHED,TRUCK",0, ,0, ,0, ,0, ,Fatal,2,"Asphyxiation, Drowning",19,Internal Injuries,1,Struck-by,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220876502,8/7/2016,"STRUCK BY,TRACTOR,CRUSHED,TRACTOR TRAILER",0, ,0, ,0, ,0, ,Fatal,12,"Fracture, Broken Bones",13,Head,1,Struck-by,1,Pinch Point Action,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
